[32m[2026-04-17T14:35:54.409Z]  INFO: Requesting https://sparql.orthodb.org/sparql/ { headers: { accept: 'application/n-quads,application/trig;q=0.95,application/ld+json;q=0.9,application/n-triples;q=0.8,text/turtle;q=0.6,application/rdf+xml;q=0.5,text/n3;q=0.35,application/xml;q=0.3,image/svg+xml;q=0.3,text/xml;q=0.3,text/html;q=0.2,application/xhtml+xml;q=0.18,application/json;q=0.135,text/shaclc;q=0.1,text/shaclc-ext;q=0.05', 'user-agent': 'Comunica/4.0 (linux; x64) ActorHttpFetch/4.4.1 Node.js/24' }, method: undefined, actor: 'urn:comunica:default:http/actors#fetch' }
[0m[32m[2026-04-17T14:35:54.410Z]  INFO: Requesting https://sparql.uniprot.org/sparql/ { headers: { accept: 'application/n-quads,application/trig;q=0.95,application/ld+json;q=0.9,application/n-triples;q=0.8,text/turtle;q=0.6,application/rdf+xml;q=0.5,text/n3;q=0.35,application/xml;q=0.3,image/svg+xml;q=0.3,text/xml;q=0.3,text/html;q=0.2,application/xhtml+xml;q=0.18,application/json;q=0.135,text/shaclc;q=0.1,text/shaclc-ext;q=0.05', 'user-agent': 'Comunica/4.0 (linux; x64) ActorHttpFetch/4.4.1 Node.js/24' }, method: undefined, actor: 'urn:comunica:default:http/actors#fetch' }
[0m[32m[2026-04-17T14:35:54.410Z]  INFO: Requesting https://sparql.rhea-db.org/sparql { headers: { accept: 'application/n-quads,application/trig;q=0.95,application/ld+json;q=0.9,application/n-triples;q=0.8,text/turtle;q=0.6,application/rdf+xml;q=0.5,text/n3;q=0.35,application/xml;q=0.3,image/svg+xml;q=0.3,text/xml;q=0.3,text/html;q=0.2,application/xhtml+xml;q=0.18,application/json;q=0.135,text/shaclc;q=0.1,text/shaclc-ext;q=0.05', 'user-agent': 'Comunica/4.0 (linux; x64) ActorHttpFetch/4.4.1 Node.js/24' }, method: undefined, actor: 'urn:comunica:default:http/actors#fetch' }
[0m[90m[2026-04-17T14:35:54.488Z]  DEBUG: Marking host as rate-limited { host: 'sparql.uniprot.org', actor: 'urn:comunica:default:http/actors#limit-rate' }
[0m[90m[2026-04-17T14:35:54.488Z]  DEBUG: Server reported client-side error { url: 'https://sparql.uniprot.org/sparql/', status: 403, statusText: 'Forbidden', currentAttempt: '1 / 3', actor: 'urn:comunica:default:http/actors#retry' }
[0m[33m[2026-04-17T14:35:54.489Z]  WARN: Metadata extraction for https://sparql.uniprot.org/sparql/ failed: Request failed: https://sparql.uniprot.org/sparql/ { actor: 'urn:comunica:default:query-source-identify/actors#hypermedia' }
[0m[32m[2026-04-17T14:35:54.489Z]  INFO: Identified https://sparql.uniprot.org/sparql/ as sparql source with service URL: https://sparql.uniprot.org/sparql/ { actor: 'urn:comunica:default:query-source-identify-hypermedia/actors#sparql' }
[0m[90m[2026-04-17T14:35:54.495Z]  DEBUG: Delaying request { url: 'https://sparql.uniprot.org/sparql/?query=ASK%20WHERE%20%7B%20%3Ftaxon%20%3Chttp%3A%2F%2Fpurl.uniprot.org%2Fcore%2FscientificName%3E%20%3Forg_name.%20%7D', requestInterval: 80, currentDelay: 80, actor: 'urn:comunica:default:http/actors#limit-rate' }
[0m[90m[2026-04-17T14:35:54.495Z]  DEBUG: Delaying request { url: 'https://sparql.uniprot.org/sparql/?query=ASK%20WHERE%20%7B%20%3Fs%20%3Chttp%3A%2F%2Fwww.w3.org%2F2000%2F01%2Frdf-schema%23subClassOf%3E%20%3Fo.%20%7D', requestInterval: 80, currentDelay: 160, actor: 'urn:comunica:default:http/actors#limit-rate' }
[0m[90m[2026-04-17T14:35:54.495Z]  DEBUG: Delaying request { url: 'https://sparql.uniprot.org/sparql/?query=ASK%20WHERE%20%7B%20%3Fvar0%20%3Chttp%3A%2F%2Fpurl.uniprot.org%2Fcore%2FscientificName%3E%20%3Fclade_name.%20%7D', requestInterval: 80, currentDelay: 240, actor: 'urn:comunica:default:http/actors#limit-rate' }
[0m[90m[2026-04-17T14:35:54.495Z]  DEBUG: Delaying request { url: 'https://sparql.uniprot.org/sparql/?query=ASK%20WHERE%20%7B%20%3Fvar1%20%3Chttp%3A%2F%2Fwww.w3.org%2F1999%2F02%2F22-rdf-syntax-ns%23type%3E%20%3Ftaxon.%20%7D', requestInterval: 80, currentDelay: 320, actor: 'urn:comunica:default:http/actors#limit-rate' }
[0m[90m[2026-04-17T14:35:54.495Z]  DEBUG: Delaying request { url: 'https://sparql.uniprot.org/sparql/?query=ASK%20WHERE%20%7B%20%3Fgene%20%3Chttp%3A%2F%2Fwww.w3.org%2F1999%2F02%2F22-rdf-syntax-ns%23type%3E%20%3Chttp%3A%2F%2Fpurl.orthodb.org%2FGene%3E.%20%7D', requestInterval: 80, currentDelay: 400, actor: 'urn:comunica:default:http/actors#limit-rate' }
[0m[90m[2026-04-17T14:35:54.495Z]  DEBUG: Delaying request { url: 'https://sparql.uniprot.org/sparql/?query=ASK%20WHERE%20%7B%20%3Fgene%20%3Chttp%3A%2F%2Fpurl.uniprot.org%2Fcore%2Forganism%3E%20%3Fvar1.%20%7D', requestInterval: 80, currentDelay: 480, actor: 'urn:comunica:default:http/actors#limit-rate' }
[0m[90m[2026-04-17T14:35:54.495Z]  DEBUG: Delaying request { url: 'https://sparql.uniprot.org/sparql/?query=ASK%20WHERE%20%7B%20%3Fgene%20%3Chttp%3A%2F%2Fwww.w3.org%2F2000%2F01%2Frdf-schema%23seeAlso%3E%20%3Fxref.%20%7D', requestInterval: 80, currentDelay: 560, actor: 'urn:comunica:default:http/actors#limit-rate' }
[0m[90m[2026-04-17T14:35:54.496Z]  DEBUG: Delaying request { url: 'https://sparql.uniprot.org/sparql/?query=ASK%20WHERE%20%7B%20%3Fxref%20%3Chttp%3A%2F%2Fwww.w3.org%2F1999%2F02%2F22-rdf-syntax-ns%23type%3E%20%3Chttp%3A%2F%2Fpurl.orthodb.org%2FUniprot%3E.%20%7D', requestInterval: 80, currentDelay: 639, actor: 'urn:comunica:default:http/actors#limit-rate' }
[0m[90m[2026-04-17T14:35:54.496Z]  DEBUG: Delaying request { url: 'https://sparql.uniprot.org/sparql/?query=ASK%20WHERE%20%7B%20%3Fgene%20%3Chttp%3A%2F%2Fpurl.orthodb.org%2FmemberOf%3E%20%3Fog.%20%7D', requestInterval: 80, currentDelay: 719, actor: 'urn:comunica:default:http/actors#limit-rate' }
[0m[90m[2026-04-17T14:35:54.496Z]  DEBUG: Delaying request { url: 'https://sparql.uniprot.org/sparql/?query=ASK%20WHERE%20%7B%20%3Fog%20%3Chttp%3A%2F%2Fpurl.orthodb.org%2Fxref%3E%20%3Fvar2.%20%7D', requestInterval: 80, currentDelay: 799, actor: 'urn:comunica:default:http/actors#limit-rate' }
[0m[90m[2026-04-17T14:35:54.496Z]  DEBUG: Delaying request { url: 'https://sparql.uniprot.org/sparql/?query=ASK%20WHERE%20%7B%20%3Fvar2%20%3Chttp%3A%2F%2Fpurl.orthodb.org%2FxrefResource%3E%20%3Chttp%3A%2F%2Fwww.ebi.ac.uk%2Finterpro%2Fentry%2FIPR002328%3E.%20%7D', requestInterval: 80, currentDelay: 879, actor: 'urn:comunica:default:http/actors#limit-rate' }
[0m[90m[2026-04-17T14:35:54.496Z]  DEBUG: Delaying request { url: 'https://sparql.uniprot.org/sparql/?query=ASK%20WHERE%20%7B%20%3Fog%20%3Chttp%3A%2F%2Fpurl.orthodb.org%2FogBuiltAt%3E%20%3Fvar3.%20%7D', requestInterval: 80, currentDelay: 959, actor: 'urn:comunica:default:http/actors#limit-rate' }
[0m[90m[2026-04-17T14:35:54.496Z]  DEBUG: Delaying request { url: 'https://sparql.uniprot.org/sparql/?query=ASK%20WHERE%20%7B%20%3Fvar3%20%3Chttp%3A%2F%2Fpurl.uniprot.org%2Fcore%2FscientificName%3E%20%22Eukaryota%22.%20%7D', requestInterval: 80, currentDelay: 1039, actor: 'urn:comunica:default:http/actors#limit-rate' }
[0m[90m[2026-04-17T14:35:54.496Z]  DEBUG: Delaying request { url: 'https://sparql.uniprot.org/sparql/?query=ASK%20WHERE%20%7B%20%3Fxref%20%3Chttp%3A%2F%2Fwww.w3.org%2F1999%2F02%2F22-rdf-syntax-ns%23type%3E%20%3Chttp%3A%2F%2Fpurl.uniprot.org%2Fcore%2FProtein%3E.%20%7D', requestInterval: 80, currentDelay: 1119, actor: 'urn:comunica:default:http/actors#limit-rate' }
[0m[90m[2026-04-17T14:35:54.496Z]  DEBUG: Delaying request { url: 'https://sparql.uniprot.org/sparql/?query=ASK%20WHERE%20%7B%20%3Fxref%20%3Chttp%3A%2F%2Fpurl.uniprot.org%2Fcore%2Fannotation%3E%20%3Fvar4.%20%7D', requestInterval: 80, currentDelay: 1199, actor: 'urn:comunica:default:http/actors#limit-rate' }
[0m[90m[2026-04-17T14:35:54.496Z]  DEBUG: Delaying request { url: 'https://sparql.uniprot.org/sparql/?query=ASK%20WHERE%20%7B%20%3Fvar4%20%3Chttp%3A%2F%2Fpurl.uniprot.org%2Fcore%2FcatalyticActivity%3E%20%3Fvar5.%20%7D', requestInterval: 80, currentDelay: 1279, actor: 'urn:comunica:default:http/actors#limit-rate' }
