query_name,sources,start,end,duration_seconds,produced_results,results_count,error
EX3-16-10-25,None,2025-10-16T10:08:52.766271,2025-10-23T10:47:07.661548,210451.509072,10,6,44
42_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://data.epo.org/linked-data/query']",2025-10-16T10:08:52.766426,2025-10-16T10:09:00.868877,8.102451,True,66,None
67_draft_human_metabolome_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql']",2025-10-16T10:09:01.869954,2025-10-16T11:34:11.451601,5109.581647,False,0,fetch failed
109_uniprot_transporter_in_liver_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://www.bgee.org/sparql']",2025-10-16T11:34:12.452619,2025-10-16T11:34:19.526993,7.074374,True,0,None
43_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://data.epo.org/linked-data/query']",2025-10-16T11:34:20.528025,2025-10-16T11:34:27.074981,6.546956,True,71,None
53_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql', 'https://sparql.omabrowser.org/sparql']",2025-10-16T11:34:28.076032,2025-10-16T11:38:33.518411,245.442379,False,0,terminated
40_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql']",2025-10-16T11:38:34.519415,2025-10-16T11:39:39.701329,65.181914,False,0,fetch failed
92_uniprot_bioregistry_iri_translation_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://bioregistry.io/sparql']",2025-10-16T11:39:40.702330,2025-10-16T11:39:45.791378,5.089048,True,0,None
48_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://glyconnect.expasy.org/sparql']",2025-10-16T11:39:46.792387,2025-10-16T11:40:00.772498,13.980111,True,0,None
50_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql', 'https://www.bgee.org/sparql']",2025-10-16T11:40:01.773520,2025-10-16T11:40:40.221303,38.447783,False,0,fetch failed
29_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://data.allie.dbcls.jp/sparql']",2025-10-16T11:40:41.222298,2025-10-16T11:44:35.162773,233.940475,False,0,Request failed: https://data.allie.dbcls.jp/sparql
19_draft_human_metabolome_ns.rq,"['https://sparql.rhea-db.org/sparql', 'https://sparql.uniprot.org/sparql']",2025-10-16T11:44:36.163860,2025-10-16T11:46:25.062567,108.898707,False,0,Aborted
51_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql']",2025-10-16T11:46:26.063524,2025-10-16T11:49:33.505914,187.44239,False,0,Aborted
36_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.orthodb.org/sparql']",2025-10-16T11:49:34.506929,2025-10-16T11:49:40.000852,5.493923,False,0,Node.js v22.17.0
45_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql', 'https://query.wikidata.org/sparql']",2025-10-16T11:49:41.001882,2025-10-16T11:52:12.860774,151.858892,False,0,fetch failed
019_ns.rq,"['https://www.bgee.org/sparql', 'https://sparql.omabrowser.org/sparql']",2025-10-16T12:31:12.237510,2025-10-16T12:55:13.339805,1441.102295,False,0,Request failed: https://www.bgee.org/sparql?query=SELECT%20%3FtaxonFly%20WHERE%20%7B%20%3Chttps%3A%2F%2Fomabrowser.org%2Foma%2Fgenome%2F28377%3E%20%3Chttp%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002162%3E%20%3FtaxonFly.%20%7D
19_ns.rq,"['https://sparql.orthodb.org/sparql', 'https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql']",2025-10-16T12:55:14.340739,2025-10-16T13:03:40.935600,506.594861,False,0,Aborted
18_ns.rq,"['https://sparql.orthodb.org/sparql', 'https://sparql.nextprot.org']",2025-10-16T13:03:41.936558,2025-10-16T13:03:58.979470,17.042912,False,0,Request failed: https://idsm.elixir-czech.cz/sparql/endpoint/chebi?query=ASK%20WHERE%20%7B%20%3Fchebi%20%3Chttp%3A%2F%2Fbioinfo.uochb.cas.cz%2Frdf%2Fv1.0%2Fsachem%23substructureSearch%3E%20%3Fg_0.%20%7D
017_ns.rq,"['https://www.bgee.org/sparql', 'https://sparql.uniprot.org/sparql']",2025-10-16T13:03:59.980332,2025-10-16T13:12:46.417563,526.437231,False,0,fetch failed
020_ns.rq,"['https://www.bgee.org/sparql', 'https://sparql.omabrowser.org/sparql']",2025-10-16T13:12:47.418557,2025-10-16T15:02:15.287827,6567.86927,False,0,fetch failed
17_ns.rq,"['https://sparql.orthodb.org/sparql', 'https://sparql.uniprot.org/sparql']",2025-10-16T15:02:16.288873,2025-10-16T15:02:21.205041,4.916168,False,0,Request failed: https://sparql.uniprot.org/sparql/
26_ns.rq,"['https://beta.sparql.swisslipids.org/sparql', 'https://sparql.rhea-db.org/sparql', 'https://sparql.uniprot.org/sparql']",2025-10-16T15:02:22.205925,2025-10-16T15:42:50.426198,2428.220273,False,0,Aborted
5_ns.rq,"['https://beta.sparql.swisslipids.org/sparql', 'https://sparql.rhea-db.org/sparql']",2025-10-16T15:42:51.427200,2025-10-16T18:44:00.490705,10869.063505,False,0,fetch failed
16_ns.rq,"['https://beta.sparql.swisslipids.org/sparql', 'https://sparql.rhea-db.org/sparql', 'https://sparql.uniprot.org/sparql']",2025-10-16T18:44:01.491640,2025-10-16T18:45:04.156171,62.664531,True,608,None
7_ns.rq,"['https://beta.sparql.swisslipids.org/sparql', 'https://sparql.rhea-db.org/sparql', 'https://sparql.uniprot.org/sparql']",2025-10-16T18:45:05.157232,2025-10-16T18:45:10.036946,4.879714,True,0,None
34_ns.rq,"['https://beta.sparql.swisslipids.org/sparql', 'https://sparql.rhea-db.org/sparql', 'https://sparql.uniprot.org/sparql']",2025-10-16T18:45:11.037982,2025-10-16T21:52:18.702629,11227.664647,False,0,fetch failed
6_ns.rq,"['https://beta.sparql.swisslipids.org/sparql', 'https://sparql.rhea-db.org/sparql', 'https://sparql.uniprot.org/sparql']",2025-10-16T21:52:19.703753,2025-10-16T21:54:48.640986,148.937233,True,1216,None
016_ns.rq,"['https://www.bgee.org/sparql', 'https://sparql.uniprot.org/sparql', 'https://sparql.omabrowser.org/sparql']",2025-10-16T21:54:49.642050,2025-10-16T22:22:44.813641,1675.171591,False,0,fetch failed
27_ns.rq,"['https://beta.sparql.swisslipids.org/sparql', 'https://sparql.rhea-db.org/sparql', 'https://sparql.uniprot.org/sparql']",2025-10-16T22:22:45.814671,2025-10-17T09:53:04.279641,41418.46497,False,0,Aborted
018_ns.rq,"['https://www.bgee.org/sparql', 'https://sparql.omabrowser.org/sparql']",2025-10-17T10:00:11.786330,2025-10-17T10:03:08.794857,177.008527,False,0,Node.js v22.17.0
18_ns.rq,"['https://sparql.rhea-db.org/sparql', 'https://idsm.elixir-czech.cz/sparql/endpoint/chebi']",2025-10-17T10:03:09.804193,2025-10-17T10:03:14.158225,4.354032,False,0,Request failed: https://idsm.elixir-czech.cz/sparql/endpoint/chebi?query=ASK%20WHERE%20%7B%20%3Fchebi%20%3Chttp%3A%2F%2Fbioinfo.uochb.cas.cz%2Frdf%2Fv1.0%2Fsachem%23substructureSearch%3E%20%3Fg_0.%20%7D
emi#examples019b_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://qlever.cs.uni']",2025-10-17T10:03:15.159308,2025-10-17T10:03:19.394400,4.235092,False,0,Request failed: https://biosoda.unil.ch/emi/sparql?query=ASK%20WHERE%20%7B%20%3Fintxn2%20%3Chttps%3A%2F%2Fpurl.org%2Femi%23hasSource%3E%20%3FparasitoidX.%20%7D
11_ns.rq,"['https://sparql.rhea-db.org/sparql', 'https://sparql.uniprot.org/sparql']",2025-10-17T10:03:20.403648,2025-10-18T00:00:02.311725,50201.908077,False,0,fetch failed
emi#examples019a_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://qlever.cs.uni']",2025-10-18T00:00:03.321123,2025-10-18T00:00:07.499319,4.178196,False,0,Request failed: https://biosoda.unil.ch/emi/sparql?query=ASK%20WHERE%20%7B%20%3Fintxn2%20%3Chttps%3A%2F%2Fpurl.org%2Femi%23hasTarget%3E%20%3FparasiteX.%20%7D
emi#examples011a_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://qlever.cs.uni']",2025-10-18T00:00:08.508594,2025-10-18T00:00:12.599295,4.090701,False,0,Request failed: https://biosoda.unil.ch/emi/sparql?query=ASK%20WHERE%20%7B%20%3Fintxn%20%3Chttps%3A%2F%2Fpurl.org%2Femi%23hasTarget%3E%20%3Ftarget.%20%7D
009_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://query.wikidata.org/sparql']",2025-10-18T00:00:13.608558,2025-10-18T00:00:18.807468,5.19891,False,0,Request failed: https://biosoda.unil.ch/emi/sparql?query=ASK%20WHERE%20%7B%20%3Fmaterial%20%3Chttp%3A%2F%2Fwww.w3.org%2Fns%2Fsosa%2FisSampleOf%3E%20%3Forgane.%20%7D
001_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://query.wikidata.org/sparql']",2025-10-18T00:00:19.816786,2025-10-18T00:00:23.859546,4.04276,False,0,Request failed: https://biosoda.unil.ch/emi/sparql?query=ASK%20WHERE%20%7B%20%3Fmaterial%20%3Chttp%3A%2F%2Fwww.w3.org%2Fns%2Fsosa%2FisSampleOf%3E%20%3Forgane.%20%7D
3_ns.rq,"['https://sparql.omabrowser.org/sparql', 'https://sparql.uniprot.org/sparql']",2025-10-18T00:00:24.868558,2025-10-18T00:01:46.813272,81.944714,False,0,Aborted
006_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://query.wikidata.org/sparql']",2025-10-18T00:01:47.822479,2025-10-18T00:01:51.957390,4.134911,False,0,Request failed: https://biosoda.unil.ch/emi/sparql?query=ASK%20WHERE%20%7B%20%3Fs%20%3Chttp%3A%2F%2Fwww.w3.org%2Fns%2Fsosa%2FisSampleOf%3E%20%3Fo.%20%7D
13_ns.rq,"['https://sparql.rhea-db.org/sparql', 'https://sparql.uniprot.org/sparql']",2025-10-18T00:01:52.966319,2025-10-18T10:07:10.383309,36317.41699,True,8584,None
20_search_chemical_names_in_japanese_ns.rq,"['https://sparql.rhea-db.org/sparql', 'https://data.allie.dbcls.jp/sparql']",2025-10-18T10:07:11.392599,2025-10-18T10:08:02.145338,50.752739,False,0,Request failed: https://data.allie.dbcls.jp/sparql
12_ns.rq,"['https://sparql.rhea-db.org/sparql', 'https://sparql.uniprot.org/sparql']",2025-10-18T10:08:03.154619,2025-10-18T20:25:12.358796,37029.204177,True,52700,None
emi#examples011b_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://qlever.cs.uni']",2025-10-18T20:25:13.368158,2025-10-18T20:25:17.614691,4.246533,False,0,Request failed: https://biosoda.unil.ch/emi/sparql?query=ASK%20WHERE%20%7B%20%3FtrySpObs%20%3Chttp%3A%2F%2Fwww.w3.org%2Fns%2Fsosa%2FisFeatureOfInterestOf%3E%20%3FtryObId.%20%7D
