query_name,sources,start,end,duration_seconds,http_requests,produced_results,results_count,error
EX1-NRL-17-4-26,None,2026-04-17T16:33:00.142413,2026-04-17T16:41:23.704489,503.561159,,0,0,60
109_uniprot_transporter_in_liver_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://www.bgee.org/sparql']",2026-04-17T16:33:00.142495,2026-04-17T16:33:09.917966,9.775471,12.0,False,0,DEBUG: Server reported client-side error
19_draft_human_metabolome_ns.rq,"['https://sparql.rhea-db.org/sparql', 'https://sparql.uniprot.org/sparql']",2026-04-17T16:33:10.919484,2026-04-17T16:33:15.790964,4.87148,15.0,False,0,DEBUG: Server reported client-side error
29_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://data.allie.dbcls.jp/sparql']",2026-04-17T16:33:16.792257,2026-04-17T16:33:21.773610,4.981353,3.0,False,0,DEBUG: Server reported client-side error
36_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.orthodb.org/sparql']",2026-04-17T16:33:22.774903,2026-04-17T16:33:27.213916,4.439013,3.0,False,0,DEBUG: Server reported client-side error
40_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql']",2026-04-17T16:33:28.215248,2026-04-17T16:33:32.832679,4.617431,15.0,False,0,DEBUG: Server reported client-side error
42_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://data.epo.org/linked-data/query']",2026-04-17T16:33:33.833961,2026-04-17T16:33:38.264333,4.430372,3.0,False,0,DEBUG: Server reported client-side error
43_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://data.epo.org/linked-data/query']",2026-04-17T16:33:39.265645,2026-04-17T16:33:44.442637,5.176992,3.0,False,0,DEBUG: Server reported client-side error
45_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql', 'https://query.wikidata.org/sparql']",2026-04-17T16:33:45.444007,2026-04-17T16:33:49.856171,4.412164,28.0,False,0,DEBUG: Server reported client-side error
48_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://glyconnect.expasy.org/sparql']",2026-04-17T16:33:50.857451,2026-04-17T16:33:55.359258,4.501807,3.0,False,0,DEBUG: Server reported client-side error
50_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql', 'https://www.bgee.org/sparql']",2026-04-17T16:33:56.360539,2026-04-17T16:34:06.040331,9.679792,39.0,False,0,DEBUG: Server reported client-side error
51_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql']",2026-04-17T16:34:07.041643,2026-04-17T16:34:11.812790,4.771147,3.0,False,0,DEBUG: Server reported client-side error
53_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql', 'https://sparql.omabrowser.org/sparql']",2026-04-17T16:34:12.814240,2026-04-17T16:34:17.649123,4.834883,4.0,False,0,DEBUG: Server reported client-side error
67_draft_human_metabolome_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql']",2026-04-17T16:34:18.650390,2026-04-17T16:34:23.047880,4.39749,3.0,False,0,DEBUG: Server reported client-side error
