query_name,sources,start,end,duration_seconds,http_requests,produced_results,results_count,error
EX4-24-10-25,None,2025-10-24T10:53:29.319965,2025-10-31T17:11:33.740474,317944.668651,,8,5,46
42_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://data.epo.org/linked-data/query']",2025-10-24T10:53:29.320229,2025-10-24T10:54:31.477687,62.157458,14.0,True,66,None
67_draft_human_metabolome_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql']",2025-10-24T10:54:32.486946,2025-10-24T20:39:37.003921,35104.516975,628216.0,False,0,fetch failed
109_uniprot_transporter_in_liver_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://www.bgee.org/sparql']",2025-10-24T20:39:38.013234,2025-10-24T20:39:50.763339,12.750105,22.0,True,0,None
43_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://data.epo.org/linked-data/query']",2025-10-24T20:39:51.772685,2025-10-24T20:53:17.032599,805.259914,39.0,True,71,None
53_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql', 'https://sparql.omabrowser.org/sparql']",2025-10-24T20:53:18.041959,2025-10-24T21:03:17.536643,599.494684,970.0,False,0,DEBUG: Server-side error encountered
40_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql']",2025-10-24T21:03:18.545800,2025-10-24T21:04:31.677928,73.132128,29.0,False,0,FATAL ERROR: Reached heap limit Allocation failed
92_uniprot_bioregistry_iri_translation_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://bioregistry.io/sparql']",2025-10-24T21:04:32.686981,2025-10-24T21:04:37.696881,5.0099,7.0,True,0,None
48_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://glyconnect.expasy.org/sparql']",2025-10-24T21:04:38.706083,2025-10-24T21:05:17.328266,38.622183,563.0,False,0,Request failed: https://glyconnect.expasy.org/sparql?query=ASK%20WHERE%20%7B%20%3Fprotein%20%3Chttp%3A%2F%2Fpurl.uniprot.org%2Fcore%2Fannotation%3E%20%3Fannotation.%20%7D
50_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql', 'https://www.bgee.org/sparql']",2025-10-24T21:05:18.337574,2025-10-25T00:00:02.458221,10484.120647,206824.0,False,0,fetch failed
29_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://data.allie.dbcls.jp/sparql']",2025-10-25T00:00:03.467557,2025-10-25T00:01:00.999093,57.531536,30.0,False,0,DEBUG: Server reported client-side error
