query_name,sources,start,end,duration_seconds,http_requests,produced_results,results_count,error
service-control-20-4-26,None,2026-04-20T12:42:33.887704,2026-04-20T13:08:56.132626,1582.244922,,13,10,54
001.rq,['https://biosoda.unil.ch/emi/sparql'],2026-04-20T12:42:33.887793,2026-04-20T12:42:38.840559,4.952766,2.0,False,0,DEBUG: Server-side error encountered
002.rq,['https://biosoda.unil.ch/emi/sparql'],2026-04-20T12:42:39.841852,2026-04-20T12:42:44.531783,4.689931,2.0,False,0,DEBUG: Server-side error encountered
006.rq,['https://biosoda.unil.ch/emi/sparql'],2026-04-20T12:42:45.533090,2026-04-20T12:42:50.274539,4.741449,2.0,False,0,DEBUG: Server-side error encountered
007.rq,['https://biosoda.unil.ch/emi/sparql'],2026-04-20T12:42:51.275924,2026-04-20T12:42:56.091848,4.815924,2.0,False,0,DEBUG: Server-side error encountered
009.rq,['https://biosoda.unil.ch/emi/sparql'],2026-04-20T12:42:57.093154,2026-04-20T12:43:01.869692,4.776538,2.0,False,0,DEBUG: Server-side error encountered
016.rq,['https://www.bgee.org/sparql'],2026-04-20T12:43:02.870972,2026-04-20T12:43:11.571768,8.700796,2.0,False,0,DEBUG: Server-side error encountered
017.rq,['https://www.bgee.org/sparql'],2026-04-20T12:43:12.573076,2026-04-20T12:43:18.642206,6.06913,2.0,True,20,None
018.rq,['https://www.bgee.org/sparql'],2026-04-20T12:43:19.643551,2026-04-20T12:43:32.623169,12.979618,2.0,False,0,DEBUG: Server-side error encountered
019.rq,['https://www.bgee.org/sparql'],2026-04-20T12:43:33.624469,2026-04-20T12:43:41.211047,7.586578,2.0,False,0,DEBUG: Server-side error encountered
020.rq,['https://www.bgee.org/sparql'],2026-04-20T12:43:42.212351,2026-04-20T12:43:49.090300,6.877949,2.0,False,0,DEBUG: Server-side error encountered
027-biosodafrontend.rq,['https://www.bgee.org/sparql'],2026-04-20T12:43:50.091571,2026-04-20T12:43:56.321070,6.229499,2.0,False,0,DEBUG: Server-side error encountered
028-biosodafrontend.rq,['https://www.bgee.org/sparql'],2026-04-20T12:43:57.322381,2026-04-20T12:44:04.817173,7.494792,2.0,False,0,DEBUG: Server-side error encountered
109_uniprot_transporter_in_liver.rq,['https://sparql.uniprot.org/sparql'],2026-04-20T12:44:05.819125,2026-04-20T12:44:10.468664,4.649539,2.0,False,0,DEBUG: Server reported client-side error
11.rq,['https://sparql.rhea-db.org/sparql'],2026-04-20T12:44:11.469993,2026-04-20T12:44:18.578017,7.108024,2.0,True,7,None
116_biosodafrontend_rabit_mouse_orthologs.rq,['https://sparql.uniprot.org/sparql'],2026-04-20T12:44:19.579315,2026-04-20T12:44:24.396633,4.817318,2.0,False,0,DEBUG: Server reported client-side error
117_biosodafrontend_glioblastoma_orthologs_rat.rq,['https://sparql.uniprot.org/sparql'],2026-04-20T12:44:25.398086,2026-04-20T12:44:30.091835,4.693749,2.0,False,0,DEBUG: Server reported client-side error
118_biosodafrontend_rat_brain_human_cancer.rq,['https://sparql.uniprot.org/sparql'],2026-04-20T12:44:31.093305,2026-04-20T12:44:35.830403,4.737098,2.0,False,0,DEBUG: Server reported client-side error
12.rq,['https://sparql.rhea-db.org/sparql'],2026-04-20T12:44:36.831708,2026-04-20T12:44:58.306025,21.474317,2.0,True,13594,None
13.rq,['https://sparql.rhea-db.org/sparql'],2026-04-20T12:44:59.307430,2026-04-20T12:45:07.456310,8.14888,2.0,True,2183,None
14.rq,['https://sparql.omabrowser.org/sparql'],2026-04-20T12:45:08.457607,2026-04-20T12:45:16.619577,8.16197,2.0,False,0,DEBUG: Server-side error encountered
15-rat-TP53-biosodafrontend.rq,['https://sparql.omabrowser.org/sparql'],2026-04-20T12:45:17.620882,2026-04-20T12:45:25.005539,7.384657,2.0,True,8,None
16.rq,['https://beta.sparql.swisslipids.org/sparql'],2026-04-20T12:45:26.006823,2026-04-20T12:45:50.185651,24.178828,2.0,False,0,DEBUG: Server reported client-side error
17.rq,['https://sparql.orthodb.org/sparql'],2026-04-20T12:45:51.186940,2026-04-20T12:46:08.532196,17.345256,2.0,True,11,None
18.rq,['https://sparql.orthodb.org/sparql'],2026-04-20T12:46:09.533499,2026-04-20T12:46:24.876396,15.342897,2.0,False,0,DEBUG: Server-side error encountered
18a.rq,['https://sparql.rhea-db.org/sparql'],2026-04-20T12:46:25.877697,2026-04-20T12:46:31.142158,5.264461,2.0,True,141,None
19.rq,['https://sparql.orthodb.org/sparql'],2026-04-20T12:46:32.143445,2026-04-20T12:46:48.403961,16.260516,2.0,False,0,DEBUG: Server-side error encountered
19_draft_human_metabolome.rq,['https://sparql.rhea-db.org/sparql'],2026-04-20T12:46:49.405263,2026-04-20T12:47:45.999842,56.594579,2.0,True,176288,None
20.rq,['https://sparql.orthodb.org/sparql'],2026-04-20T12:47:47.001370,2026-04-20T12:47:52.579103,5.577733,2.0,True,0,None
20_search_chemical_names_in_japanese.rq,['https://sparql.rhea-db.org/sparql'],2026-04-20T12:47:53.580558,2026-04-20T12:48:01.318491,7.737933,2.0,True,0,None
26.rq,['https://beta.sparql.swisslipids.org/sparql'],2026-04-20T12:48:02.319789,2026-04-20T12:53:57.394802,355.075013,2.0,False,0,Aborted (core dumped)
27.rq,['https://beta.sparql.swisslipids.org/sparql'],2026-04-20T12:53:58.396242,2026-04-20T12:59:18.968174,320.571932,2.0,False,0,Aborted (core dumped)
29.rq,['https://sparql.uniprot.org/sparql'],2026-04-20T12:59:19.969575,2026-04-20T12:59:24.607419,4.637844,2.0,False,0,DEBUG: Server reported client-side error
3.rq,['https://sparql.omabrowser.org/sparql'],2026-04-20T12:59:25.608790,2026-04-20T12:59:39.023287,13.414497,2.0,True,75,None
34.rq,['https://beta.sparql.swisslipids.org/sparql'],2026-04-20T12:59:40.024574,2026-04-20T13:05:35.054799,355.030225,2.0,False,0,Aborted (core dumped)
36.rq,['https://sparql.uniprot.org/sparql'],2026-04-20T13:05:36.056183,2026-04-20T13:05:40.621047,4.564864,2.0,False,0,DEBUG: Server reported client-side error
38.rq,['https://sparql.uniprot.org/sparql'],2026-04-20T13:05:41.622349,2026-04-20T13:05:46.453708,4.831359,2.0,False,0,DEBUG: Server reported client-side error
40.rq,['https://sparql.uniprot.org/sparql'],2026-04-20T13:05:47.454988,2026-04-20T13:05:52.182993,4.728005,2.0,False,0,DEBUG: Server reported client-side error
42.rq,['https://sparql.uniprot.org/sparql'],2026-04-20T13:05:53.184295,2026-04-20T13:05:57.928240,4.743945,2.0,False,0,DEBUG: Server reported client-side error
43.rq,['https://sparql.uniprot.org/sparql'],2026-04-20T13:05:58.929558,2026-04-20T13:06:03.744816,4.815258,2.0,False,0,DEBUG: Server reported client-side error
45.rq,['https://sparql.uniprot.org/sparql'],2026-04-20T13:06:04.746203,2026-04-20T13:06:09.415067,4.668864,2.0,False,0,DEBUG: Server reported client-side error
