query_name,sources,start,end,duration_seconds,produced_results,results_count,error
testbatch1,None,2025-09-11T11:10:18.818290,2025-09-12T15:32:00.177141,102101.358851,3,3,12
42_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://data.epo.org/linked-data/query']",2025-09-11T11:10:18.818433,2025-09-11T11:10:35.233723,16.41529,True,66,None
67_draft_human_metabolome_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql']",2025-09-11T11:10:36.234785,2025-09-11T11:11:55.019837,78.785052,False,0,Aborted
43_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://data.epo.org/linked-data/query']",2025-09-11T11:11:56.020856,2025-09-11T11:14:54.681688,178.660832,True,71,None
53_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql', 'https://sparql.omabrowser.org/sparql']",2025-09-11T11:14:55.682845,2025-09-11T11:16:33.175143,97.492298,False,0,Aborted
40_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql']",2025-09-11T11:16:34.176139,2025-09-11T11:17:54.399902,80.223763,False,0,Aborted
92_uniprot_bioregistry_iri_translation_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://bioregistry.io/sparql']",2025-09-11T11:17:55.400920,2025-09-11T11:18:00.210291,4.809371,True,194,None
26_ns.rq,"['https://beta.sparql.swisslipids.org/sparql', 'https://sparql.rhea-db.org/sparql', 'https://sparql.uniprot.org/sparql']",2025-09-11T11:18:01.211213,2025-09-12T04:27:23.275060,61762.063847,False,0,fetch failed
48_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://glyconnect.expasy.org/sparql']",2025-09-12T04:27:24.275854,2025-09-12T04:28:50.302727,86.026873,False,0,Aborted
29_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://data.allie.dbcls.jp/sparql']",2025-09-12T04:28:51.303762,2025-09-12T14:07:38.749171,34727.445409,False,0,fetch failed
19_draft_human_metabolome_ns.rq,"['https://sparql.rhea-db.org/sparql', 'https://sparql.uniprot.org/sparql']",2025-09-12T14:07:39.750260,2025-09-12T14:08:51.834244,72.083984,False,0,Aborted
51_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql']",2025-09-12T14:08:52.835104,2025-09-12T14:10:10.403488,77.568384,False,0,fetch failed
34_ns.rq,"['https://beta.sparql.swisslipids.org/sparql', 'https://sparql.rhea-db.org/sparql', 'https://sparql.uniprot.org/sparql']",2025-09-12T14:10:11.404442,2025-09-12T14:11:25.512037,74.107595,False,0,Aborted
36_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.orthodb.org/sparql']",2025-09-12T14:11:26.513036,2025-09-12T14:12:53.033527,86.520491,False,0,Aborted
27_ns.rq,"['https://beta.sparql.swisslipids.org/sparql', 'https://sparql.rhea-db.org/sparql', 'https://sparql.uniprot.org/sparql']",2025-09-12T14:12:54.034511,2025-09-12T15:29:25.619369,4591.584858,False,0,Node.js v22.17.0
45_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.rhea-db.org/sparql', 'https://query.wikidata.org/sparql']",2025-09-12T15:29:26.620399,2025-09-12T15:32:00.177017,153.556618,False,0,terminated
